代號,名稱,產業,目前股價,MA240,240MA乖離率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比
6147,頎邦,半導體,54.0,57.825,-6.614785992217903,2,0,1,1,1,2,1,8,優選,6.7796526542991415,86.66666666666667,8.841455920569393,0.8028208698964269
8049,晶采,電子,26.45,27.90583333333333,-5.216949861140136,2,0,1,1,1,2,1,8,優選,7.079309876666701,103.66666666666667,12.717278998838802,0.8343278566141821
9924,福興,其他,47.45,49.071041666666666,-3.303458845806031,2,1,1,1,1,2,1,9,優選,5.891372035838196,252.0,9.71888986135888,0.8946505336952914
9911,櫻花,其他,83.2,85.8575,-3.095245028098883,2,1,1,1,1,2,1,9,優選,5.046374459480291,66.2,12.250308377392832,0.9096228738197919
2423,固緯,電子,48.35,49.120000000000005,-1.5675895765472374,2,1,1,1,1,2,1,9,優選,4.967314956396811,112.0,9.239491725807039,0.9193126698063006
3567,逸昌,半導體,27.05,27.439791666666665,-1.4205343517245992,2,0,1,1,1,2,1,8,優選,6.635085744369017,118.75,12.442168323095824,0.9441437391487566
2015,豐興,傳統產業,64.6,64.99083333333333,-0.6013668594288936,2,0,1,1,1,2,1,8,優選,5.0132951605264715,142.33333333333334,11.260078188496346,0.9252678236099307
6197,佳必琪,電子,145.5,145.78125,-0.19292604501607716,2,1,0,1,1,2,1,8,優選,4.40251572327044,32.0,8.638899686513431,0.8513569732516721
6486,互動,電子,79.0,78.45666666666668,0.6925266601520869,2,0,1,1,1,2,1,8,優選,7.231182147797364,194.25,8.924998719709972,0.9579374055289056
6803,崑鼎,其他,296.5,293.7583333333333,0.9333068565430794,2,0,1,1,1,2,1,8,優選,4.679138505780243,68.5,11.753276754851395,0.9222435501426686
4736,泰博,生技醫療,131.5,129.55208333333334,1.5035780332877628,2,0,1,1,1,2,1,8,優選,7.574890929486434,167.0,13.339495938012954,0.8126338322025692
3533,嘉澤,電子,1460.0,1398.5625,4.392903427626581,0,2,1,1,1,2,1,8,優選,2.573969769179113,6.2,13.610317297254323,0.928970338789774
4417,金洲,傳統產業,51.6,48.86479166666667,5.597503314844104,2,1,1,1,1,2,1,9,優選,6.0744586262277735,239.0,8.276489801199252,0.8997543634829093
4105,東洋,生技醫療,84.0,78.12416666666667,7.521146892233515,2,1,1,1,1,2,1,9,優選,4.616034412979583,262.2,12.66828406915907,0.8847512300427433
2059,川湖,電子,3065.0,2751.8125,11.381135160916669,0,2,1,1,1,2,1,8,優選,1.6980370750405434,3.6,16.146850410020104,0.9371534598356857
5536,聖暉*,其他,656.0,584.4395833333333,12.244279598333167,2,1,0,1,1,2,1,8,優選,6.986298637841287,93.0,9.174909902511782,0.9586384983282024
3090,日電貿,電子,88.8,78.13875,13.643998656236498,2,1,1,1,1,2,1,9,優選,6.644238293614618,166.0,9.943718702866665,0.9475118155889282
8109,博大,電子,105.5,92.73791666666666,13.761451402024527,2,1,1,1,1,2,1,9,優選,4.993685994122115,160.2,13.173741373790577,0.8933753820543855
6192,巨路,電子,119.0,103.99416666666666,14.42949524412428,2,1,1,1,1,2,1,9,優選,5.032068980522192,232.4,8.969208833089288,0.9571550723142845
3131,弘塑,其他,1605.0,1386.7375,15.739280144944523,0,2,1,1,1,2,1,8,優選,2.995653887932204,8.8,9.202902898632406,0.9279322252326093
3152,璟德,電子,149.5,129.08125,15.818525153730684,0,2,1,1,1,2,1,8,優選,3.223313400520356,8.6,16.618583780657957,0.9419821729618117
8091,翔名,半導體,136.0,113.53208333333333,19.78992722321517,2,1,1,1,1,2,1,9,優選,5.5912676971153,74.2,8.559635569621216,0.9118181156058185
2383,台光電,電子,1785.0,1066.9541666666667,67.29865778364426,0,2,1,1,1,2,1,8,優選,2.835797579158787,8.2,13.104628868505788,0.9897747928134839
6239,力成,電子,244.5,145.31458333333333,68.25565224871329,2,1,1,1,1,2,1,9,優選,5.5044216796983845,168.6,7.956966633440603,0.8974353559474813
2360,致茂,電子,971.0,540.1479166666667,79.76557347331557,0,2,1,1,1,2,1,8,優選,2.883522094208139,3.8,11.521760230521204,0.8019049699060062
3443,創意,電子,2685.0,1486.6083333333333,80.61246797800362,0,2,1,1,1,2,1,8,優選,1.2001518379539389,3.4,12.509583239686368,0.9516729040630008
2451,創見,電子,240.0,129.06166666666667,85.95761715975567,2,1,1,1,1,2,1,9,優選,5.939323036501325,160.2,10.135437601292882,0.7236144482640023
8299,群聯,半導體,2145.0,791.9729166666667,170.8425951013687,2,1,0,1,1,2,1,8,優選,4.632426988922457,139.0,13.077271427962216,0.733391782804045
1442,名軒,傳統產業,29.5,57.09375,-48.33059660645868,1,0,1,1,1,1,1,6,入選,4.905408982638938,17.75,5.011135466069604,0.994285233666831
5508,永信建,傳統產業,59.8,100.41333333333334,-40.44615588899217,2,0,1,1,1,1,1,7,入選,8.682365874991847,24.5,10.832737072412966,1.0000939642261195
3056,富華新,傳統產業,16.6,27.47416666666667,-39.579605083563344,1,0,1,1,1,1,1,6,入選,6.164088851264452,55.0,6.433017266140797,0.9619484471940793
2377,微星,電子,90.8,131.56791666666666,-30.98621434430253,1,0,1,1,1,2,1,7,入選,4.749223808742407,27.75,10.52067701094642,0.9185785303494318
6469,大樹,生技醫療,95.0,137.20499999999998,-30.76054079661819,0,2,1,1,1,1,1,7,入選,1.2352291283018288,8.8,6.261205649276109,0.954301497052518
6546,正基,電子,60.7,84.24,-27.94396961063627,1,0,1,1,1,1,1,6,入選,4.197595305002286,12.5,7.743368286371998,0.8709589166781715
1565,精華,生技醫療,111.0,151.66875,-26.8141921127457,1,0,1,1,1,2,1,7,入選,5.030884031000374,151.66666666666666,15.088150402383025,0.9418875267689982
3592,瑞鼎,電子,223.0,301.49791666666664,-26.035973161782483,1,0,1,1,1,2,1,7,入選,7.440103310801152,84.0,10.91218727200552,0.9373503115530817
6412,群電,電子,80.8,104.88583333333332,-22.963857527629244,1,0,1,1,1,1,1,6,入選,5.401916691067315,177.0,8.633730747678493,0.9663435386551338
3529,力旺,半導體,1700.0,2199.3333333333335,-22.703849651409524,0,1,1,1,1,2,1,7,入選,0.876852026788233,13.4,31.142957164550882,0.9677193769123535
3078,僑威,電子,61.8,78.85166666666667,-21.62499207372494,1,0,1,1,1,2,1,7,入選,6.024292043491666,226.75,10.375193501971069,0.8203286065085157
4961,天鈺,電子,143.0,182.30625,-21.56056086941616,1,0,1,1,1,1,1,6,入選,5.838465408020215,62.0,10.42678395840307,0.9074555907810934
6561,是方,電子,316.0,402.4270833333333,-21.476457950456858,0,1,1,1,1,2,1,7,入選,2.8668887571864534,93.0,16.384559097456663,1.0074359051788473
2392,正崴,電子,38.9,49.51416666666667,-21.436625881481735,1,1,1,1,1,0,1,6,入選,4.386651398793289,191.4,1.8056333075764641,0.9379671534365578
2357,華碩,電子,499.5,624.2604166666666,-19.985315957216034,1,1,1,1,1,1,0,6,入選,6.740016444055852,100.2,5.209860615217648,0.6791360146190192
3034,聯詠,半導體,368.5,459.9,-19.87388562731028,1,0,1,1,1,2,1,7,入選,7.871444685405805,86.33333333333333,19.80440730922102,0.9610402556713427
6189,豐藝,電子,48.2,60.150625,-19.867831797258955,1,0,1,1,1,1,1,6,入選,6.354587484734149,116.0,6.238589861103138,1.0831974012072279
4549,桓達,傳統產業,102.0,125.82916666666667,-18.937713169310243,0,1,1,1,1,2,1,7,入選,3.6483515897393017,94.6,12.212585177845195,0.8685819334254132
3141,晶宏,半導體,44.85,55.13104166666667,-18.648371871563583,0,1,1,1,1,1,1,6,入選,1.680571118659509,20.0,9.071133543735034,0.7388962351824111
5457,宣德,電子,35.6,43.35125,-17.880107263343035,0,2,1,1,1,1,1,7,入選,2.942373070422235,4.4,5.9052478476204175,0.8730941023057535
2393,億光,電子,56.4,68.02291666666666,-17.08676610211019,2,0,1,1,1,1,1,7,入選,5.69650861994612,121.0,5.087581803514723,0.8241093477786496
6245,立端,電子,67.6,81.25041666666667,-16.80042666447865,1,0,1,1,1,2,1,7,入選,4.6241689400392,82.0,9.500141618863037,0.898745620885175
9939,宏全,其他,117.0,140.36458333333334,-16.64564007421151,1,0,1,1,1,1,1,6,入選,4.415068636552315,19.75,5.172872566567374,1.0052155304276507
5465,富驊,電子,29.2,35.02041666666666,-16.620066865756872,1,1,1,1,1,0,1,6,入選,5.016310798426598,119.6,4.678288606460164,0.921101893379795
3032,偉訓,電子,71.8,85.32791666666667,-15.854033703311249,1,1,1,1,1,1,1,7,入選,5.039606727561686,130.6,6.447073147839477,0.8139394454915092
5213,亞昕,傳統產業,23.95,28.246458333333333,-15.21060899965335,1,1,1,1,1,0,1,6,入選,4.645786664307826,34.8,1.7790775335041757,1.0877050581216645
6143,振曜,電子,104.5,123.02916666666667,-15.060791817658414,1,1,1,1,0,1,1,6,入選,4.374151924782097,14.6,5.191178235749197,0.8617909224501774
9940,信義,其他,21.75,25.413333333333334,-14.415005246589718,2,0,1,1,1,1,1,7,入選,5.731512533846431,278.25,5.57437506464005,0.9125289869011469
3147,大綜,其他,164.0,191.02708333333334,-14.148299215861627,1,0,1,1,1,1,1,6,入選,4.831928777596358,21.0,8.241240815756822,0.8649314500224643
3596,智易,電子,177.5,205.53125,-13.638436977345295,1,1,1,1,1,1,1,7,入選,4.85772096354902,85.0,5.659797640606253,0.9503597372534077
5244,弘凱,電子,37.5,43.30416666666667,-13.40325218897335,1,1,1,1,1,1,1,7,入選,4.529579081775006,117.4,8.650879547284188,0.8511058283258807
2376,技嘉,電子,227.5,262.48125,-13.327142414934395,1,1,1,1,1,1,1,7,入選,5.095060181547778,35.2,8.786672357106319,0.8212813394311587
3003,健和興,電子,46.25,53.15416666666667,-12.988947244649998,0,1,1,1,1,2,1,7,入選,2.6820812919503436,31.6,7.829198279255768,0.9440613481784433
4908,前鼎,電子,70.5,80.87125,-12.82439680356122,0,1,1,1,1,1,1,6,入選,3.741199195446731,12.0,8.777253448485574,0.9162596527299461
2397,友通,電子,58.7,67.3225,-12.807753722752423,1,1,1,1,1,1,1,7,入選,4.780239187101932,161.2,8.078678035276456,0.9273209693241394
1339,昭輝,其他,42.15,48.22770833333333,-12.60210891906019,2,0,1,1,1,1,1,7,入選,5.411891929705171,157.0,5.452157964197227,0.9652752439131944
6491,晶碩,傳統產業,282.0,321.28125,-12.226437117011963,0,1,1,1,1,2,1,7,入選,2.1743549229618333,39.6,12.397614862318258,1.0010101555994937
3088,艾訊,電子,81.4,92.11999999999999,-11.636995223621348,1,0,1,1,1,2,1,7,入選,4.349171553130789,74.5,12.349655577347468,0.9141353888206682
1582,信錦,電子,66.0,74.68583333333335,-11.629827164901885,1,0,1,1,1,1,1,6,入選,6.096260730776648,232.25,7.6974836932642585,0.8434306268269951
3515,華擎,電子,218.5,246.43125,-11.334297090973651,1,1,1,1,1,1,1,7,入選,4.9354255857543565,70.8,7.721006294306578,0.9267753850791427
3035,智原,半導體,160.0,180.36666666666667,-11.291812973572355,0,1,1,1,1,1,1,6,入選,1.7604405809645427,15.0,8.151997151288779,0.8213474306099764
9938,百和,其他,50.1,56.419583333333335,-11.201045736187938,1,1,1,1,1,1,0,6,入選,4.171262769207213,21.4,6.71490689168631,1.3055358867224782
3227,原相,半導體,195.0,219.49791666666667,-11.16088801146556,1,1,1,1,1,1,1,7,入選,5.155162933113295,28.4,9.025783584167959,0.731650374611597
3005,神基,電子,111.0,124.445,-10.803969625135597,1,1,1,1,1,2,1,8,入選,5.365102573062969,336.2,9.003278084081627,0.823202947729363
2379,瑞昱,電子,475.0,532.2208333333333,-10.75133285838428,1,1,1,1,1,2,1,8,入選,4.906188582659171,63.2,9.94237490339955,0.8723768016261506
6216,居易,電子,27.45,30.750833333333336,-10.734126446437777,1,0,1,1,1,2,1,7,入選,5.577689368854829,129.75,10.19916619219661,0.8357699530446798
6227,茂綸,其他,83.0,92.51291666666667,-10.282798347978437,1,1,1,1,1,0,1,6,入選,5.910404204049263,84.4,4.665446566249152,1.0894450089110816
3577,泓格,電子,61.6,68.60374999999999,-10.208990033343644,0,1,1,1,1,1,1,6,入選,1.6538592635689,35.8,7.676115133259536,0.9506823867840231
3528,安馳,其他,67.0,74.52749999999999,-10.100298547516005,1,1,1,1,1,1,1,7,入選,5.439888781134199,138.4,5.851242785121391,1.2948714604345846
6203,海韻電,電子,64.4,71.44708333333332,-9.863360412426427,2,1,1,1,1,1,1,8,入選,5.988495738979993,215.0,11.556346486065703,0.8332112009795001
6438,迅得,電子,148.5,164.52916666666667,-9.742446881252059,1,1,0,1,1,1,1,6,入選,4.75066334550069,121.33333333333333,7.690416868180958,0.8838546756434879
5474,聰泰,電子,151.5,165.53958333333333,-8.481103462162872,0,1,1,1,1,2,1,7,入選,3.7687720344950186,214.4,18.585203430830227,0.9332923962370785
3501,維熹,電子,50.3,54.921875,-8.415362731152209,2,0,1,1,1,1,1,7,入選,5.526731248368113,186.25,7.511283009407194,0.8445565602374522
5534,長虹,傳統產業,77.5,84.52208333333333,-8.307986571556738,2,0,1,1,1,1,1,7,入選,6.0734537852911785,216.25,7.666788475171531,0.953198025209506
6532,瑞耘,半導體,56.3,61.33375,-8.207145331893132,1,1,1,1,1,2,1,8,入選,4.066459647507223,59.8,11.493746522319823,0.9838618563355128
9917,中保科,其他,105.0,113.74583333333334,-7.688926334297963,1,0,1,1,1,1,1,6,入選,4.4636080063712615,121.0,9.681186549984542,0.8360976653349308
6670,復盛應用,零售百貨,266.5,287.8854166666667,-7.428447371277641,1,0,1,1,1,2,1,7,入選,5.962503932464011,102.0,17.828533212013124,0.9623979624710124
2608,嘉里大榮,其他,32.4,34.934999999999995,-7.256333190210381,1,0,1,1,1,1,1,6,入選,4.331559333379366,65.0,7.6266970888189505,0.9496180122854649
3029,零壹,電子,111.0,119.61875,-7.205183133915047,1,0,1,1,1,2,1,7,入選,5.703068011220753,240.25,7.509606249858618,0.9235616693689412
3303,岱稜,其他,44.8,48.219375,-7.091288512138538,1,1,1,1,1,1,1,7,入選,5.600566741711516,53.8,5.942771022499956,1.2861218895089794
1733,五鼎,傳統產業,28.8,30.93708333333333,-6.907837142587766,1,1,1,1,1,0,1,6,入選,4.2415284052193005,76.2,4.9274303946630695,0.9542610383634708
6248,沛波,傳統產業,21.6,23.180208333333333,-6.8170583741517925,2,0,1,1,1,1,1,7,入選,5.875521080069815,345.6666666666667,5.7678593617403235,0.920952640655791
3416,融程電,電子,143.5,153.92083333333332,-6.770255271920081,1,1,1,1,1,2,1,8,入選,4.463651146989716,63.4,10.300476885938531,0.9315736745293286
1476,儒鴻,傳統產業,396.0,423.9375,-6.59000442282176,0,1,1,1,1,2,1,7,入選,2.9725446841918135,50.6,18.956019004350004,0.9700125895911211
6416,瑞祺電通,電子,84.9,90.66833333333334,-6.362015404128598,0,1,1,1,1,1,1,6,入選,2.9741024352534517,49.6,10.498467452756547,0.9075237855994931
8016,矽創,電子,189.0,201.37708333333333,-6.146222364759312,1,0,1,1,1,2,1,7,入選,8.046206938908472,37.5,16.94840481033987,0.9216283046854873
3338,泰碩,電子,51.1,54.44041666666667,-6.135913116021344,0,1,1,1,1,1,1,6,入選,3.518125868278183,35.0,5.794915477981142,0.8995020797655453
6214,精誠,其他,113.5,120.46958333333333,-5.78534692367022,1,1,1,1,1,1,1,7,入選,5.0462104800858665,191.8,5.786974808242608,0.7055430605743982
3376,新日興,電子,205.5,218.06875,-5.763663982115729,1,1,1,1,1,1,1,7,入選,4.677735150436832,185.2,6.682160766225318,0.8411782790149779
6642,富致,電子,53.9,57.16125,-5.705351090117875,1,0,1,1,1,2,1,7,入選,4.133019282284161,322.0,10.814769749654417,0.9118864805799676
3413,京鼎,電子,280.0,296.74583333333334,-5.643157022704616,1,1,1,1,1,2,1,8,入選,4.566386377467571,40.0,12.77342669963664,0.954631602997809
5299,杰力,半導體,72.6,76.92291666666667,-5.61980337459037,1,0,1,1,1,1,1,6,入選,5.190743380797278,47.333333333333336,14.21924334550991,0.8191658773827187
1709,和益,傳統產業,16.75,17.735208333333336,-5.5550987325118495,2,1,0,1,1,1,1,7,入選,6.6233444777568335,188.33333333333334,5.715256888057468,0.9080968164395123
3217,優群,電子,153.5,162.27708333333334,-5.408701680510446,1,1,1,1,1,1,1,7,入選,5.153966669880264,112.2,13.003195573498184,0.8880795843608539
1527,鑽全,傳統產業,34.05,35.920208333333335,-5.206563157925275,2,0,1,1,1,1,1,7,入選,5.312446319665772,143.25,7.239639616118064,0.8684233018797209
4952,凌通,半導體,38.95,41.07791666666666,-5.180196171909053,1,1,1,1,1,2,1,8,入選,5.3420411856142165,190.4,11.612862024415103,0.9367923641287378
2476,鉅祥,電子,81.9,86.37166666666667,-5.1772379059490925,0,2,1,1,1,1,1,7,入選,3.377274949101875,5.4,7.258060973646894,0.8377362882905292
3045,台灣大,電子,105.0,110.62916666666666,-5.088320590561557,1,0,1,1,1,2,1,7,入選,4.03705520622375,280.5,8.320500634476172,1.030654729936621
3705,永信,生技醫療,55.5,58.38416666666667,-4.939980873809975,2,1,1,1,1,1,1,8,入選,4.523246128185514,126.4,6.9415241423601755,0.844307380689363
6414,樺漢,電子,281.0,294.7375,-4.660927096144878,0,1,1,1,1,1,1,6,入選,3.5885821484311995,49.0,6.598362964887788,0.7892503023721057
2488,漢平,電子,45.3,47.484375,-4.600197433366245,1,0,1,1,1,1,1,6,入選,5.467518124508257,112.25,8.494875926211076,0.7744504746339137
6494,九齊,半導體,37.1,38.73166666666667,-4.21274581522441,1,0,1,1,1,1,1,6,入選,5.329518381389695,80.66666666666667,14.163942442763837,0.8795458959506736
9933,中鼎,其他,30.65,31.941458333333333,-4.043204038638399,1,1,1,1,1,0,1,6,入選,4.359882015861493,68.2,3.3493135003840697,0.9404035828983762
5410,國眾,其他,29.85,31.100625,-4.021221438475913,2,1,1,1,1,1,1,8,入選,6.432217120601879,103.8,6.773938492040086,0.7887677004997512
8182,加高,電子,26.95,28.058125,-3.9493907736172713,1,1,1,1,1,0,1,6,入選,4.830454054300339,171.8,4.051004928908932,0.9276338164543436
8255,朋程,傳統產業,126.0,131.175,-3.945111492281312,0,2,1,1,1,1,1,7,入選,2.4160404899105337,2.0,7.952961314263492,0.7222646505009263
5519,隆大,傳統產業,30.5,31.75041666666667,-3.9382685266597646,2,0,1,1,1,1,1,7,入選,7.688784882205543,84.5,5.176175203287404,0.9872248615594916
3583,辛耘,電子,318.0,330.62916666666666,-3.8197376214540446,0,1,1,1,1,1,1,6,入選,2.1305351124667133,27.2,6.597008622682514,0.9857422895492318
8341,日友,其他,76.0,78.92,-3.6999493157627996,1,0,1,1,1,1,1,6,入選,4.253315469300158,32.666666666666664,13.760182864155743,1.041884461937664
3580,友威科,其他,64.7,67.12416666666667,-3.6114663124309394,1,1,1,1,0,1,1,6,入選,4.237505770378697,22.0,6.165016853812756,0.8264547370694515
3042,晶技,電子,85.8,88.92791666666668,-3.5173619082871554,1,1,1,1,1,2,1,8,入選,5.627501733885631,99.4,8.898612379231732,0.8911222906549925
4551,智伸科,其他,117.0,121.16791666666667,-3.4397856968463216,0,1,1,1,1,1,1,6,入選,3.081583995629063,171.4,7.992561929823592,0.9336269905395215
3484,崧騰,電子,49.25,50.89,-3.2226370603261953,1,0,1,1,1,1,1,6,入選,4.656244082229977,210.25,5.995079484248859,0.9043124418706536
4506,崇友,傳統產業,112.5,116.21166666666666,-3.193884721843756,1,1,1,1,1,2,1,8,入選,4.180168954882361,88.4,9.907308412588772,0.8951093750667974
9907,統一實,其他,17.8,18.373749999999998,-3.1226614055377753,1,1,1,1,1,0,1,6,入選,4.9348871071637985,164.2,2.949399038863459,1.0067172415298709
6151,晉倫,其他,29.5,30.38083333333333,-2.899306031763442,2,1,1,1,1,1,1,8,入選,6.21124461252124,403.8,6.747411170471135,0.9588075021651349
4951,精拓科,半導體,67.2,68.94270833333333,-2.5277630883130513,0,1,1,1,1,1,1,6,入選,3.9704545437495478,119.0,8.462268049110955,1.0382519298916202
2527,宏璟,傳統產業,28.0,28.578125,-2.0229633679606343,1,1,1,1,1,0,1,6,入選,6.356066708787443,117.0,2.9278142087271273,0.7886806091915044
2414,精技,其他,40.45,41.14854166666667,-1.6976097775842531,2,1,1,1,1,1,1,8,入選,6.239688971507485,175.2,5.003103383044421,0.9872291823541298
8415,大國鋼,傳統產業,33.95,34.517500000000005,-1.6440935757224668,1,1,1,1,1,1,1,7,入選,4.455798460903068,88.2,5.36882470174031,0.9952382142501367
3093,港建*,其他,25.8,26.215208333333333,-1.5838452552192153,1,0,1,1,1,1,1,6,入選,5.576075506358951,106.0,11.079808601790475,0.9843992446565464
4532,瑞智,傳統產業,25.35,25.728749999999998,-1.4720886168196925,1,1,1,1,1,0,1,6,入選,4.493437297552475,28.0,3.6450461334335804,0.789961509709332
3040,遠見,其他,55.4,56.092083333333335,-1.2338342457714675,1,1,1,1,1,1,0,6,入選,5.618349525514713,329.2,10.188289484387312,0.46568430439428443
5609,中菲行,其他,78.0,78.87083333333334,-1.1041259443182465,1,0,1,1,1,1,1,6,入選,7.571227635802953,327.6666666666667,12.19885348562662,0.9198344969275795
6146,耕興,其他,173.5,175.33125,-1.0444515738067295,1,1,1,1,1,2,1,8,入選,4.272423529333421,118.0,17.443601660797178,0.9570650670444467
9925,新保,其他,40.6,40.9825,-0.9333251997803947,2,0,1,1,1,1,1,7,入選,4.852075013990117,156.25,6.05272749611862,0.7563537304504916
1612,宏泰,其他,35.25,35.47895833333334,-0.6453355568735127,2,1,1,1,1,1,0,7,入選,6.872546801915563,151.6,7.851609403303819,0.6506754637666976
5471,松翰,電子,35.3,35.44770833333334,-0.41669360384136095,1,0,1,1,1,1,1,6,入選,5.2020068864126525,62.5,11.241314719068734,0.7996315275879364
3537,堡達,電子,45.55,45.718333333333334,-0.3681965659290654,1,1,1,1,1,1,1,7,入選,6.116692190811088,133.0,8.68438767055424,0.9574408978016736
9942,茂順,其他,111.5,111.43041666666666,0.06244554710900249,1,0,1,1,1,2,1,7,入選,5.049248114181372,73.0,12.409736748987884,0.9515382177088201
1319,東陽,其他,108.0,107.92958333333333,0.06524315622455105,0,1,1,1,1,1,1,6,入選,3.3457305512484568,101.8,5.946363420424582,0.7829198718224364
2501,國建,傳統產業,21.8,21.585208333333338,0.9950872993658688,1,1,1,1,1,0,1,6,入選,4.004236267490431,224.4,3.1496238417344724,0.9903089744397029
3526,凡甲,電子,249.0,246.46041666666667,1.030422397105685,2,1,1,1,1,1,1,8,入選,5.869563106895132,22.2,13.753641337503563,0.9087472267788339
2356,英業達,電子,43.85,43.39874999999999,1.039776491258409,1,1,1,1,1,0,1,6,入選,4.463429627140008,127.8,2.5455114047976974,0.8573450627177335
1521,大億,其他,26.05,25.764791666666667,1.106969297571783,0,2,1,1,1,1,1,7,入選,2.4626031178039733,3.2,7.20732055506789,1.2376248936218217
2412,中華電,電子,133.0,131.46666666666667,1.166328600405678,0,1,1,1,1,2,1,7,入選,3.7275678074707677,287.2,7.877046647549794,0.9847526751057533
3038,全台,電子,23.3,23.02625,1.1888605396015404,2,0,1,1,1,1,1,7,入選,5.135984539361047,201.5,6.638863990431775,0.8925894270928975
3492,長盛,電子,24.7,24.38083333333333,1.309088423283321,0,1,1,1,1,1,1,6,入選,2.745348604431171,33.8,5.649680631073373,0.7063932964430648
8464,億豐,其他,418.0,408.31666666666666,2.371525368382384,0,1,1,1,1,2,1,7,入選,3.216374928811367,31.8,20.229235882250443,0.9443917099311007
8261,富鼎,電子,88.8,86.7125,2.4073807121233863,0,1,1,1,1,1,1,6,入選,3.530783201408435,193.8,7.781589468387798,0.8828293395284122
2477,美隆電,電子,24.25,23.551458333333336,2.9660229815917147,1,1,1,1,1,1,0,6,入選,4.631681996829252,98.8,5.194859278479859,-0.3807030358799807
2049,上銀,傳統產業,230.0,223.275,3.0119807412383808,0,1,1,1,1,1,1,6,入選,1.4561131302009642,285.2,5.2668845105308515,0.9623430691101843
1720,生達,生技醫療,60.4,58.60666666666667,3.0599476737572453,1,0,1,1,1,2,1,7,入選,4.44726999153949,58.5,8.54370300962225,0.8623768314380825
6205,詮欣,電子,50.7,48.906875,3.6664068190821917,0,1,1,1,1,1,1,6,入選,3.5774568524028654,63.4,6.685735115914193,0.8200764450720375
3231,緯創,電子,128.0,123.42916666666666,3.703203591803671,1,1,1,1,1,0,1,6,入選,4.714828248822192,44.2,2.900175492977035,0.9846785352269428
8081,致新,電子,234.5,224.50833333333333,4.450465832745633,1,0,1,1,1,2,1,7,入選,6.209728969862391,267.25,12.822198500007971,0.9347069499475917
9927,泰銘,其他,69.5,66.31416666666667,4.80415195345389,1,1,1,1,1,2,1,8,入選,7.242253889924572,97.2,10.038653681118394,0.9084111157943928
1712,興農,傳統產業,45.1,42.931875,5.050152130555685,2,1,1,1,1,1,1,8,入選,5.95529827854674,178.8,5.320628800598229,1.0019680343942832
2006,東和鋼鐵,傳統產業,69.4,65.89166666666667,5.32439610471735,1,0,1,1,1,1,1,6,入選,5.486481649731215,301.5,5.989038116378012,0.9832197893658454
8249,菱光,電子,56.6,53.58833333333333,5.620004354181576,1,1,1,1,1,0,1,6,入選,4.7264774754004675,29.4,4.44994923092264,0.7782060842691181
3071,協禧,電子,23.2,21.928333333333335,5.799194345215466,1,0,1,1,1,1,1,6,入選,4.780629367768985,93.5,5.2271387517345875,0.711147275196197
6411,晶焱,半導體,80.2,75.76541666666667,5.853044209924276,0,1,1,1,1,2,1,7,入選,3.956563713604595,18.0,11.998941739659852,0.8596358730832471
5222,全訊,電子,134.5,126.94250000000001,5.953482876105315,0,1,1,1,1,2,1,7,入選,1.946397048395006,107.4,15.174598489751485,1.0115489500872858
